DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE LOCAL,ESTADO,HORARIO DE ATENCION AL PUBLICO,DIRECCION,AÑO
LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL REGIONAL DOCENTE LAS MERCEDES,OPERATIVO,08:45 a 16:30,Avenida Luis Gonzáles  Nº 635,2022
LAMBAYEQUE,CHICLAYO,CHICLAYO,ORA HOSPITAL ALMANZOR AGUINAGA ASENJO,OPERATIVO,08:45 a 16:30,Plaza Plaza de la Seguridad Social S/N,2022
PIURA,SULLANA,SULLANA,ORA HOSPITAL DE APOYO II-SULLANA,OPERATIVO,08:45 a 16:30,Avenida Santa Rosa S/N,2022
CAJAMARCA,CUTERVO,CUTERVO,PAP CUTERVO,OPERATIVO,08:45 a 16:45,Calle Jr. Comercio N° 1103 Mz. 203 Lt. 14-Urb. Los Jardines ,2022
CAJAMARCA,CHOTA,CHOTA,AG CHOTA,OPERATIVO,08:45 a 16:45,Jirón Jr. 30 de Agosto N° 848,2022
CAJAMARCA,SANTA CRUZ,SANTA CRUZ,PAP SANTA CRUZ,OPERATIVO,08:45 a 16:30,Jirón Domingo Negrón Nº 399,2022
LAMBAYEQUE,CHICLAYO,JOSE LEONARDO ORTIZ,OR JOSÉ LEONARDO ORTIZ,OPERATIVO,08:45 a 16:45,Calle Cacique Cinto Nº 317 Urb. Latina,2022
PIURA,AYABACA,FRÍAS,OR FRIAS,OPERATIVO,08:45 a 16:30,Calle Lima Nº 235 - 2do piso,2022
LAMBAYEQUE,CHICLAYO,CHICLAYO,OR CHICLAYO,OPERATIVO,08:45 a 16:45,Avenida Balta N° 680 y esquina con Av. Elias Aguirre,2022
LAMBAYEQUE,FERREÑAFE,FERREÑAFE,PAP FERREÑAFE,OPERATIVO,08:45 a 16:45,Calle Tres Marías Nº 717 – B,2022
LAMBAYEQUE,LAMBAYEQUE,LAMBAYEQUE,PAP LAMBAYEQUE,OPERATIVO,08:45 a 16:45,Avenida Huamachuco N° 342,2022
CAJAMARCA,CUTERVO,CUTERVO,ORA SANTA MARIA DE CUTERVO,OPERATIVO,08:45 a 16:30,Jirón Ica S/N,2022
CAJAMARCA,CHOTA,CHOTA,ORA HOSPITAL DE APOYO CHOTA - JOSE SOTO CADENILLAS,OPERATIVO,08:45 a 16:30,Jirón Ezequiel Montoya Nª 718,2022
PIURA,PIURA,PIURA,OR PIURA,OPERATIVO,08:45 a 16:45,Calle Libertad Nº 568,2022
PIURA,AYABACA,AYABACA,PAP AYABACA,OPERATIVO,08:45 a 16:30,Calle Bolognesi N° 181,2022
PIURA,HUANCABAMBA,HUANCABAMBA,PAP HUANCABAMBA,OPERATIVO,08:45 a 16:30,- Complejo Terminal Terrestre S/N - Stand 14,2022
PIURA,MORROPON,CHULUCANAS,AG CHULUCANAS,OPERATIVO,08:45 a 16:45,Jirón Jr. Cuzco N° 300,2022
PIURA,PAITA,PAITA,PAP PAITA,OPERATIVO,08:45 a 16:30,Jirón San Martin S/N Plaza de Armas - Municipalidad de Paita,2022
PIURA,SULLANA,SULLANA,OR SULLANA,OPERATIVO,08:45 a 16:45,Calle Leoncio Prado Nº 517 ,2022
PIURA,TALARA,PARIÑAS,AG TALARA,OPERATIVO,08:45 a 16:45,Avenida Mártires Petroleros B-3 Conjunto Habitacional - Talara,2022
PIURA,SECHURA,SECHURA,PAP SECHURA,OPERATIVO,08:45 a 16:30,Calle Dos de Mayo Nº 618 - Plaza de Armas - Municipalidad de Sechura,2022
PIURA,PIURA,TAMBO GRANDE,PAP TAMBOGRANDE,OPERATIVO,08:45 a 16:30,Calle Jr. Salitral Nº 241,2022
PIURA,PIURA,PIURA,MAC - PIURA,OPERATIVO,08:30 a 16:30,Avenida Sanchez Cerro con Wiesse Centro Comercial Real Plaza,2022
PIURA,PAITA,PAITA,ORA HOSPITAL LAS MERCEDES-PAITA,OPERATIVO,08:45 a 16:30,- Zona Industrial Sector II Mz. H Lt. 1 Jr. Los Pescadores S/N ,2022
TUMBES,TUMBES,TUMBES,OR TUMBES,OPERATIVO,08:45 a 16:45,Avenida Tumbes Nº 550,2022
TUMBES,CONTRALMIRANTE VILLAR,ZORRITOS,PANP CONTRALMIRANTE VILLAR - ZORRITOS,DESPLAZAMIENTO,08:45 a 16:45,Avenida Grau Nº 305,2022
TUMBES,ZARUMILLA,ZARUMILLA,PAP ZARUMILLA,OPERATIVO,08:45 a 16:30,Avenida El Ejérrcito Nº 105 - Interior Biblioteca Municipal,2022
